	text	label
65	little more than a stylish exercise in revisionism whose point . . . is no doubt true , but serves as a rather thin moral to such a knowing fable . 	1
6144	from the creative mind of pulizter winner dave barry , comes a film following a chain of events inspired by the arrival of a mysterious suitcase in miami . 	0
9202	with a schizophrenic father , a self-absorbed , distant mother , and a shark-like young republican big brother , igby figures there must be a better life out there , and he sets out to find it . 	0
284	attal's hang-ups surrounding infidelity are so old-fashioned and , dare i say , outdated , it's a wonder that he couldn't have brought something fresher to the proceedings simply by accident . 	1
579	[allen] manages to breathe life into this somewhat tired premise . 	1
3806	the milieu is wholly unconvincing . . . and the histrionics reach a truly annoying pitch . 	1
1704	blue crush is as predictable as the tides . . . . the movie feels stitched together from stock situations and characters from other movies . 	1
3859	steve irwin's method is ernest hemmingway at accelerated speed and volume . 	1
91	the video work is so grainy and rough , so dependent on being 'naturalistic' rather than carefully lit and set up , that it's exhausting to watch . 	1
4271	some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors . 	1
6808	kimberly corman and her friends decide to head out on a trip . 	0
4228	looking aristocratic , luminous yet careworn in jane hamilton's exemplary costumes , rampling gives a performance that could not be improved upon . 	1
9065	once his products become good enough , he has to face severe competition , and , in some cases , humiliations , from well-established foreign companies . 	0
8307	this movie praise the right to be different and unique . 	0
5135	the nameless protagonist , a 19th-century french diplomat , guides the audience through a lost , sumptuous dream that was the enlightenment period . 	0
2659	it's burns' visuals , characters and his punchy dialogue , not his plot , that carry waydowntown . 	1
5122	all are endeavoring to remove the stones that insistently appear in their path or , worst , that are in their shoes . 	0
14	provides the kind of 'laugh therapy' i need from movie comedies -- offbeat humor , amusing characters , and a happy ending . after seeing 'analyze that , ' i feel better already . 	1
8696	in order to appease the lord of gods indra ( amitabh bachchan ) , custodian of rain , a grand fire sacrifice is being conducted at the palace under the guidance of the chief priest , paravasu ( jackie shroff ) . 	0
3721	together writer-director danny verete's three tales comprise a powerful and reasonably fulfilling gestalt . 	1
9745	things turn nasty when the casino director ( alec baldwin ) tries to break up the romance . 	0
8153	hoping to win prize money offered by a local band contest , dewey forms a rock band with the kids in the class . 	0
1308	well made but uninvolving , bloodwork isn't a terrible movie , just a stultifyingly obvious one -- an unrewarding collar for a murder mystery . 	1
9445	the miseducation of mitchell is a gritty , inner-city drama that covers one day in the life of mitchell , a quiet ten-year-old boy who lives with his crack-head mother ( nayomi ) in a roach infested downtown l . a . motel . 	0
6814	"winnie falls inlove with one of the tucks , jesse , a "" 17 "" year old boy who shares the same feelings for her . "	0
4539	will certainly appeal to asian cult cinema fans and asiaphiles interested to see what all the fuss is about . 	1
8903	meanwhile an unspoken attraction develops between joe and ella , heightening the claustrophobic tensions in the confined space of the barge . 	0
7724	but when his feelings for the decidedly unavailable ricki begin to grow , and he actually becomes concerned for brian , tough guy gigli begins to transform into an actual human being . . . which 	0
6554	their plan is to sell it to wealthy arabs . 	0
3568	the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . 	1
7910	"a go ! ! ! "" and the paper is dated with the year 2003 . "	0
5031	it also touches on the encroachment of christianity brought by the missionaries , which is at odds with mepe's tribal and traditional roots . 	0
227	a great script brought down by lousy direction . same guy with both hats . big mistake . 	1
4738	if it takes too many familiar steps , it is still never less than compelling as it walks the well-trod line . 	1
6727	but they're also so much more , as you'll find out in deborah dickson's powerful and intimate documentary . 	0
7879	three stories of undying love from acclaimed japanese filmmaker takeshi kitano . 	0
1647	not only are the film's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this 'we're -doing-it-for -the-cash' sequel were . 	1
9017	arjun is already the number one person on several men&#180 ; s hit lists and must overcome this and everything he encounters on his hunt . 	0
3354	what saves it . . . and makes it one of the better video-game-based flicks , is that the film acknowledges upfront that the plot makes no sense , such that the lack of linearity is the point of emotional and moral departure for protagonist alice . 	1
6736	cancelling a trip to disney world with his son , he decides to bring the boy along . 	0
5342	an alcoholic former schoolteacher hired as security finds himself a reluctant mentor to mouse , the impressionable boy ward of the pimp dewey . 	0
8588	the military team must shut down the computer and get out , fighting their way past zombies , mutants , and the computer itself , before the virus escapes and infects the rest of the world . 	0
8488	personal tragedies , however , threaten to rip the band apart , rocking the foundation of friendship and trust the women have built together . 	0
1202	offers a fascinating look into the world of upper-echelon comics . 	1
531	it's a shame that pokemon 4ever's dialogue is so trite and flatly delivered because the tale itself presents serious ideas worthy of more poetic language . 	1
809	if ayurveda can help us return to a sane regimen of eating , sleeping and stress-reducing contemplation , it is clearly a good thing . 	1
7606	confronted with the reality that jazz has limited commercial appeal , the story focuses on the band's battles with the music industry and one another to find respect and recognition without 'selling out' . 	0
8321	but too late or otherwise , love at first sight is exactly what happens . 	0
522	depressingly thin and exhaustingly contrived . only masochistic moviegoers need apply . 	1
5779	after a chance encounter at a theater , two men , benigno and marco , meet at a private clinic where benigno works . 	0
1816	ultimately . . . the movie is too heady for children , and too preachy for adults . 	1
3851	the crassness of this reactionary thriller is matched only by the ridiculousness of its premise . 	1
4628	a winning piece of work filled with love for the movies of the 1960s . 	1
5820	all the firefighters who participated in the film were friends and collegues of the six firemen who lost their lives . 	0
2728	 . . . a visually seductive , unrepentantly trashy take on rice's second installment of her vampire chronicles . 	1
1812	when you find yourself rooting for the monsters in a horror movie , you know the picture is in trouble . 	1
5240	juwanna mann follows the story of jamal jeffries ( miguel a . nunez , jr . ) , the reigning 'bad boy' of basketball , whose undisciplined on-court antics land him out of the league and without any prospects . 	0
7784	now a chinese guy throws a monkey wrench into their plans . 	0
7013	she falls in love with a successful magician , whose life she has destroyed just by doing her job . 	0
9540	but can handsome convince his pals to pull off one last , great cheat with him and outsmarting stark and the system , even if it means possibly destroying their friendships ? 	0
4073	you emerge dazed , confused as to whether you've seen pornography or documentary . 	1
6426	diego , one of the tigers that attacked the humans , comes also claiming the baby . 	0
2328	though frida is easier to swallow than julie taymor's preposterous titus , the eye candy here lacks considerable brio . 	1
2925	it's shocking , intense , and totally creepy , yet compelling and sad . jeremy renner gives a career-making performance . 	1
8197	as anakin is left behind to protect padm&#233 ; , his feelings for her grow into something more than friendship . 	0
5021	as a young teenager , he finds out who his father is . 	0
6607	in a world ravaged by disease , disasters and hatred - a worldwide plan which dates back more than 2000 years has been implemented to show people that there's more to life and living then just waste . 	0
2127	bigelow handles the nuclear crisis sequences evenly but milks drama when she should be building suspense , and drags out too many scenes toward the end that should move quickly . 	1
2242	a muckraking job , the cinematic equivalent of a legal indictment , and a fairly effective one at that . 	1
3142	the actors don't inhabit their roles -- they're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes . 	1
1974	the movie's vision of a white american zealously spreading a puritanical brand of christianity to south seas islanders is one only a true believer could relish . 	1
7325	when rebecca went away to college john thought webcams would help them keep in touch . 	0
7911	when his affair with a young troubled janitor ( kidman ) is uncovered , the secret silk had harbored for over fifty years from his wife , his children and colleague , writer nathan zuckerman , fast explodes in a conflagration of devastating consequences . 	0
9527	on the day a young photographer is moving out of his place to live with his girlfriend , he meets the stunning girl moving in and falls in love with her at first sight . 	0
4670	lucky break is perfectly inoffensive and harmless , but it's also drab and inert . 	1
5699	the bay of love and sorrows is a haunting modern tragedy set on the rural shores of new brunswick's bay of miramichi . 	0
2932	moore provides an invaluable service by sparking debate and encouraging thought . better still , he does all of this , and more , while remaining one of the most savagely hilarious social critics this side of jonathan swift . 	1
2356	it tends to remind one of a really solid woody allen film , with its excellent use of new york locales and sharp writing	1
9519	beautifully shot sequences episodically shift back and forth from the past to the present . 	0
5655	the council reluctantly admits that they are in a dire situation and they require blade's assistance . 	0
3766	all ms . jovovich , as the sanctified heroine , has to do is look radiant , grimly purposeful and mildly alarmed while forcing open doors , wielding wrenches and fleeing monsters . 	1
3268	what bloody sunday lacks in clarity , it makes up for with a great , fiery passion . 	1
3314	told just proficiently enough to trounce its overly comfortable trappings . 	1
1535	the film tries too hard to be funny and tries too hard to be hip . the end result is a film that's neither . 	1
6107	no matter how hard you run from the past , it has a way of catching up with you . 	0
3540	the wild thornberrys movie has all the sibling rivalry and general family chaos to which anyone can relate . 	1
8375	while mitchell gets ready for school , his mother and her friend ( lisa ) plan a murder , business as usual . 	0
2018	a film that presents an interesting , even sexy premise then ruins itself with too many contrivances and goofy situations . 	1
2312	boll uses a lot of quick cutting and blurry step-printing to goose things up , but dopey dialogue and sometimes inadequate performances kill the effect . 	1
6204	'loosely based on a true love story' is a romantic comedy starring kate hudson as emma and luke wilson as alex . alex is an author whose writer's block and gambling debts have landed him in a jam . 	0
5249	upon sighting a small , previously not there , diner , he pulls in to find help . 	0
2571	it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious . 	1
4680	imaginative and engaging follow-up , which revolves around a decidedly fresh story line that presents its stars with new challenges , obstacles and emotional opportunities . 	1
7097	guns , money , and a chance at paradise . . . 	0
3759	it downplays the initial assault , referring to it only in fragmented flashbacks , while offering a cogent critique of ongoing attitudes about rape and its victims , particularly in japan . 	1
7718	not about to lose the fortune she amassed with her self-serving texas husband , she makes an offer to her process server , joe ( matthew perry ) that sets them off on a wild trip across the country . 	0
3826	drags along in a dazed and enervated , drenched-in-the- past numbness . 	1
7368	his half-sister's threats to pay back the enormous debts with the mafia has put a lot of pressure at his marriage . 	0
9782	a player in a famous orchestra finds sexual experiences with a russian opera singer , which he enjoys much because his wife has just left due to the fact that he has purchased a porno movie . 	0
8096	immediately they are further sent to romulus , where a new praetor , shinzon , a half-reman cloned from captain picard , appears to want peace with the federation . 	0
8090	as his family is rounded up to be shipped off to the nazi labor camps , he escapes deportation and eludes capture by living in the ruins of warsaw . 	0
4337	the lack of opposing viewpoints soon grows tiresome -- the film feels more like a series of toasts at a testimonial dinner than a documentary . 	1
8080	these three girls are part of what is referred to today as the 'stolen generations . ' 	0
4574	more concerned with sade's ideas than with his actions . the movie achieves as great an impact by keeping these thoughts hidden as . . . [quills] did by showing them . 	1
124	 . . . has its moments , but ultimately , its curmudgeon doesn't quite make the cut of being placed on any list of favorites . 	1
2155	with the dog days of august upon us , think of this dog of a movie as the cinematic equivalent of high humidity . 	1
6448	however , boey and wayne get closer and johnny ( who had broken up with samantha ) falls for his new secretart , the paranoid sabrina . 	0
5164	at the same time , scientist and businessman norman osborn , after exposure to an experimental nerve gas , develops an alternate personality himself ; the super-strong , psychotic green goblin ! 	0
3178	an instantly forgettable snow-and-stuntwork extravaganza that likely will be upstaged by an avalanche of more appealing holiday-season product . 	1
1207	few films seem so wise and knowing about the fact of age and the approach of the end . 	1
1042	one of the year's most weirdly engaging and unpredictable character pieces . 	1
5444	an 11 year old boy has been excluded from school for rough behaviour . 	0
7112	after returning home from a two week trial in chicago , rachel bishop ( rachel nord ) finds her sister emily bishop ( nancy walters ) missing . 	0
486	the movie occasionally threatens to become didactic , but it's too grounded in the reality of its characters to go over the edge . a touch of humor or an unexpected plot twist always pulls it back . 	1
5572	and it seems that the only thing that he can't do , is alter a person's free will , so if he wants her back , he has to do it the hard way . 	0
3948	paid in full is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks . 	1
4740	cage makes an unusual but pleasantly haunting debut behind the camera . 	1
5483	one day alice enters the shop with her little daughter . 	0
7419	then the unthinkable happens : a nuclear bomb explodes in a u . s . city , and america is quick to blame the russians . 	0
7836	a filmmaker , fascinated by the power of the camera and obsessed with the theories of russian film pioneer dziga vertov , decides to get a camera eye to replace the real eye he lost as a child . 	0
2212	snipes relies too much on a scorchingly plotted dramatic scenario for its own good . 	1
4513	a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them . 	1
1309	feels aimless for much of its running time , until late in the film when a tidal wave of plot arrives , leaving questions in its wake . 	1
398	no matter how firmly director john stainton has his tongue in his cheek , the fact remains that a wacky concept does not a movie make . 	1
7796	after their past experiences , they know they're condemned but they never once imagined what awaits them . . . 	0
1649	hatosy establishes himself here not only as the bona fide star of this little ensemble film , but also as a talent to be watched . 	1
7956	ricky is an ex-con with two strikes against him and is desperately trying to stay straight . 	0
5174	ivan , a captain of the soviet army , arrested by the front secret police 'smersh' , has a narrow escape . 	0
2419	despite cramming in numerous clich�s , mehta still manages to put a fresh and funny spin on the proceedings . 	1
323	we can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer . 	1
8173	when an international criminal ( dacascos ) kidnaps the daughter of a gang leader ( dmx ) as part of a diamond heist , it causes a city's police to engage in an intensive search ( led by a government agent played by li ) , aided by the father's gangsters . 	0
9557	in a future where emotion and desire have been wiped away by an unshakable new narcotic , society exists simply to provide a constant source of the drug . 	0
7200	it would seem that nothing is capable of distracting scotty johns from working on his much-anticipated second book . 	0
5744	on earth , a scientist struggling with writing the definitive paper on the scientific concept fails to notice more obvious issues in his personal life . 	0
1065	i was perplexed to watch it unfold with an astonishing lack of passion or uniqueness . 	1
2375	even if you don't think [kissinger's] any more guilty of criminal activity than most contemporary statesmen , he'd sure make a courtroom trial great fun to watch . 	1
9908	both undauntedly take a sardonic , action-packed jaunt with plenty of gunplay and intrigue with an unforgettable cast of characters after marko's trusting wife ashe ( robyn adamsom ) discovers that these two deviants of social behavior have bet her entire life savings of 3 , 000 bucks on an nba play-off game . 	0
5964	shy san franciscan zoe is a twenty-something love-starved animator who spends countless hours listening to kxch cherish radio , losing herself in a syrupy romantic fantasy of '70s and '80s pop songs . 	0
6923	shortly thereafter , kilo is involved in a drug deal with a wired frat boy that goes bad and he is imprisoned . 	0
6432	jason must get back , therefore he gets a new and unique mask , and goes after the kids of elm street . 	0
7861	saruman's army of uruk hai is ready to launch an assault against aragorn and the people of rohan . 	0
960	the exposition does pay off , if you can stay awake that long . there's little gripping in the film until the second hour . 	1
7506	the history of psychoanalysis is littered with the discarded psyches of the women whose diagnoses were key to the fame of the great masters . 	0
3344	while general audiences might not come away with a greater knowledge of the facts of cuban music , they'll be treated to an impressive and highly entertaining celebration of its sounds . 	1
116	rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day . 	1
4376	claire is a terrific role for someone like judd , who really ought to be playing villains . 	1
1135	a zippy , enormously entertaining heist movie that , with a kind heart at its core , encompasses the styles of yesterday , today , and if we're lucky , maybe even tomorrow . 	1
3866	the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear . 	1
979	the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish . 	1
9599	but her stepmother bitch was to ruin it all . 	0
4308	 . . . if it had been only half-an-hour long or a tv special , the humor would have been fast and furious-- at ninety minutes , it drags . 	1
1590	the pitch must have read like a discarded house beautiful spread . 	1
3237	windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live . 	1
6123	the movie mixes the personal life of the ancestors of this man as well as historical moments for m&#233 ; xico such as the reform war , the mexican revolution , etc . arc&#225 ; ngel can't sleep . 	0
3377	 . . . delivers few moments of inspiration amid the bland animation and simplistic story . 	1
694	a directorial tour de force by bernard rose , ivans xtc . is one of this year's very best pictures . 	1
8932	he stays at the guesthouse without accepting any lodgers and has created his own world avoiding contact with others . 	0
3973	the film is predictable in the reassuring manner of a beautifully sung holiday carol . 	1
3702	henry bean's thoughtful screenplay provides no easy answers , but offers a compelling investigation of faith versus intellect	1
8146	ultimately , the band must find its strength in the music that is their passion and the thread that holds them together , inspiring them to prevail . 	0
8368	but things did not work as he planned , until . . . 	0
8534	then , grace lets us in on the secret of their marriage , and how she is able to keep communication front and center in their relationship . 	0
6117	"this "" league "" comprises seafarer/inventor captain nemo ( shah ) , vampiress mina harker ( wilson ) , an invisible man named rodney skinner ( curran ) , american secret service agent tom sawyer ( west ) , the ageless and invincible dorian gray ( townsend ) , and the dangerous split personality of dr . jekyll/mr . "	0
636	renee zellweger is amazing and richard gere brings a life to the screen that he hasn't in several years . 	1
9381	after leoncio's death , robert feels terribly sorry for annie especially when he discovers that she is suffering from schizophrenia . 	0
5315	they discover that the one sho stole them is a rival of the criminal , while they go to every single one of his associates to find who has them . 	0
4204	there's more scatological action in 8 crazy nights than a proctologist is apt to encounter in an entire career . 	1
3891	like the series , the movie is funny , smart , visually inventive , and most of all , alive . 	1
4357	mostly , shafer and co-writer gregory hinton lack a strong-minded viewpoint , or a sense of humor . 	1
1297	while the now 72-year-old robert evans been slowed down by a stroke , he has at least one more story to tell : his own . 	1
4076	debrauwer handles the story with such feeling and understanding that you quickly come to , not just like , but love these characters . 	1
2390	[n�s] directed the stage version of elling , and gets fine performances from his two leads who originated the characters on stage . 	1
2820	overly stylized with lots of flash black-&-white freeze frames reminiscent of a pseudo-hip luxury car commercial , ( it's ) at its worst when it's actually inside the ring . 	1
1754	the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining . 	1
9880	charlotte contacts the perfect life saver to thank him , but everything isn't what it seems . 	0
9538	in a post communist eastern european country in 1996 the food prices are outrageous and times are tough . 	0
4403	those 24-and-unders looking for their own caddyshack to adopt as a generational signpost may have to keep on looking . 	1
6414	fresh out of a long-term relationship in which she lost custody of a dog , janey passes the end of day on her stoop . 	0
4946	the only element of suspense is whether the movie will change titles or distributors again before the closing credits roll . 	1
5080	each weekend they come back with nothing but a hangover . 	0
939	though an important political documentary , this does not really make the case the kissinger should be tried as a war criminal . 	1
7656	in 1977 , during anita bryant's crusade , an anti-gay book alan wrote years before gets published without his consent . 	0
8378	in 19th-century new mexico , a father ( tommy lee jones ) comes back home , hoping to reconcile with his adult daughter maggie ( cate blanchett ) . 	0
3395	one can only assume that the jury who bestowed star hoffman's brother gordy with the waldo salt screenwriting award at 2002's sundance festival were honoring an attempt to do something different over actually pulling it off	1
9979	a young man in his early early 20's discovers his first love is getting married so he drops everything to travel across california and stop her , with no money and no car , where he discovers life , love and secrets from his past . 	0
9270	the elders wonder what on earth they have gotten themselves into but before the day is out their view of the old man and themselves changes . 	0
2357	a gracefully acted , unsentimental , quite likable little coming-of-age movie . 	1
5542	james regards the cia's mission as an intriguing alternative to an ordinary life , but before he becomes an ops officer , james has to survive the agency's secret training ground , where green recruits are molded into seasoned veterans . 	0
58	just a kiss wants desperately to come off as a fanciful film about the typical problems of average people . but it is set in a world that is very , very far from the one most of us inhabit . 	1
5367	a team of professional thieves are hired to rob a jewelry exchange . 	0
680	does not go far enough in its humor or stock ideas to stand out as particularly memorable or even all that funny . 	1
4106	a by-the-numbers effort that won't do much to enhance the franchise . 	1
1706	sch�tte's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues brecht faced as his life drew to a close . 	1
6079	he arrives in the small welsh town , unsettling the life of his ex-lover ( redgrave ) while inspiring his newfound daughter to follow in his footsteps with a musical career of her own , against the wishes of her mother . 	0
2598	although trying to balance self-referential humor and a normal ol' slasher plot seemed like a decent endeavor , the result doesn't fully satisfy either the die-hard jason fans or those who can take a good joke . 	1
5169	but nobody figured sam decker and his juvenile delinquents into the equation . 	0
8382	"the fake "" attack "" turns into a bloodbath . "	0
6360	"faced with the obstacle of needing "" ten large "" to finance a studio recording session , the bros . "	0
7487	when the day finally comes , johnny breaks from joe , which leads to only one thing - violence . 	0
5139	two friends purchase a winning lottery ticket , only to have it stolen by a woman while she is robbing the cafe in which they are having lunch . 	0
4319	if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film . 	1
5955	michael rooker plays a guard , fisher stevens , john seda , and master p co star . 	0
7042	a corrupt cia agent ( johnny depp ) who at that time , demands retribution from his worst enemy to carry out the drug lord's uprising against the government . 	0
8908	sam roberts thinks he has all the answers : the purpose of life , the meaning of love , the plan for a perfect future . 	0
1824	a crisply made movie that is no more than mildly amusing . 	1
8610	detective mi yun ( played by yum jung-ah ) , and her newly appointed partner , detective kang ( played by ji jin-hee ) , are assigned to the case . 	0
9454	but as each retreats into their private worlds of fantasy , a much more lively story unfolds - a story of confrontations that should have happened , of secrets that need to be revealed . 	0
2783	a punch line without a premise , a joke built entirely from musty memories of half-dimensional characters . 	1
1874	the delicious trimmings�arrive early and stay late , filling nearly every minute�with a lighthearted glow , some impudent snickers , and a glorious dose of humankind's liberating ability to triumph over a scrooge or two . 	1
1450	moretti . . . is the rare common-man artist who's wise enough to recognize that there are few things in this world more complex -- and , as it turns out , more fragile -- than happiness . 	1
3579	leave it to rohmer , now 82 , to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the city as it was more than two centuries ago . 	1
9672	meanwhile , frodo and sam force gollum to guide them through mordor , trusting him with their lives . 	0
4888	the story and the friendship proceeds in such a way that you're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships . 	1
1575	highbrow self-appointed guardians of culture need not apply , but those who loved cool as ice have at last found a worthy follow-up . 	1
2935	the problematic characters and overly convenient plot twists foul up shum's good intentions . 	1
4811	offers a quieter version of the midlife-crisis roller coaster . 	1
8322	briar patch is a modern , southern gothic tale of true love and murder . 	0
1465	an entertaining but unspectacular film . pretty goofy at times - but the slick and gleefully self-indulgent violence will not disappoint the action fan . 	1
4264	grief is awkward and funny and strange sometimes . so is moonlight mile . 	1
6254	when tom goes away for a few days , lori , with the help of best friend , monica , investigates the disappearance of helen . 	0
6861	for carlos - who has been challenged by his mentor to rework a superficial comic strip into something with depth and substance - running the store is the last thing on his mind . 	0
3632	reign of fire looks as if it was made without much thought -- and is best watched that way . 	1
4586	mr . soderbergh's direction and visual style struck me as unusually and unimpressively fussy and pretentious . 	1
7115	tom is a charismatic late-night radio talk show host , whose unconventional upbringing has made him a little too quick to fall in love and marry , resulting in three divorces before the age of 40 . 	0
6785	"<p class= "" plotpar "" >for close to 20 years <a href= "" /name ? holmes , %20john "" >john "	0
